PLEOCHROME — FINANCIAL MODEL & P&L,,,,,,,
"$55,000,000 Burmese Ruby — Tokenization Economics",,,,,,,
"Model Date: March 14, 2026 | Confidential",,,,,,,
,,,,,,,
═══════════════════════════════════════════════,,,,,,,
SECTION 1: ASSET ASSUMPTIONS,,,,,,,
═══════════════════════════════════════════════,,,,,,,
,,,,,,,
Category,Assumption,Value,Unit,Source / Justification,,
Asset Type,Stone Type,Burmese Ruby (Pigeon's Blood),,World's most valuable ruby variety; Mogok origin commands highest premiums,,
Asset Type,Carat Weight,55.00,carats,"Comparable: Estrela de Fura (55.22ct) sold $34.8M at Sotheby's NY, June 2023",,
Asset Type,Treatment,No Heat Treatment,,"Unheated Burmese rubies command 2-5x premium over heated stones (GIA, SSEF research)",,
Asset Type,Claimed Value,$55000000,USD,"58% premium over current world record ($34.8M). Justified by: exceptional size + pigeon's blood color + no heat + Burmese origin + extraordinary provenance",,
,,,,,,,
Offering Structure,Offering Value (Conservative),$48000000,USD,"3-Appraisal Rule: Average of 2 lowest appraisals. Assumed 12.7% discount from claimed value as conservative baseline",,
Offering Structure,Token Price (Min Investment),$100000,USD/token,"Reg D 506(c) accredited investors; $200K+ qualifies for self-certification (SEC March 2025 guidance)",,
Offering Structure,Total Tokens,480,tokens,"$48M offering ÷ $100K per token. Fractional ownership enabling broader accredited investor access",,
Offering Structure,Target Investor Count,120,investors,"Average $400K investment per investor. Range: $100K-$2M per investor typical for alternative assets",,
Offering Structure,Offering Period,90,days,"Standard Reg D 506(c) offering window. Can extend if not fully subscribed",,
Offering Structure,Regulatory Exemption,Reg D 506(c),,"Permits general solicitation; ALL investors must be verified accredited. Simplified self-cert for $200K+ (2025 guidance)",,
Offering Structure,Blockchain,Polygon,,"Low gas costs ($0.01-0.10/tx), Brickken supported, Chainlink PoR available, full EVM compatibility",,
Offering Structure,Token Standard,ERC-3643,,"$32B+ tokenized; DTCC joined ecosystem (March 2025); built-in KYC/compliance at smart contract level",,
,,,,,,,
SPV Structure,Entity Type,Series LLC,,"Wyoming or Delaware. Each series bankruptcy-remote. One stone per series.",,
SPV Structure,Jurisdiction,TBD (WY or DE),,"Wyoming: $100 formation + $60/yr. Delaware: $110 formation + $300/yr. Wyoming offers better privacy.",,
,,,,,,,
═══════════════════════════════════════════════,,,,,,,
SECTION 2: PHASE-BY-PHASE COST BREAKDOWN,,,,,,,
═══════════════════════════════════════════════,,,,,,,
,,,,,,,
PHASE 1: ACQUISITION — Building the Pipeline,,,,,,,
,,,,,,,
Line Item,Description,Low Estimate,High Estimate,Best Estimate,Paid By,Source / Justification
1.1 KYC/KYB on Asset Holder,"Identity verification, UBO identification, background screening via Sumsub/ComPilot",$50,$500,$150,PleoChrome,"Sumsub: $1.00-$1.35/check + enhanced screening. Entity KYB is higher ($50-$500). Source: Sumsub pricing page"
1.2 Sanctions & PEP Screening,"OFAC SDN, EU/UN sanctions, PEP databases, adverse media screening",$100,$500,$250,PleoChrome,"Included in KYC provider bundle or $50-$100 per screening. Chainalysis add-on for wallet screening."
1.3 Provenance Research,"Chain of custody investigation, title search, OECD/Kimberley compliance review",$2000,$10000,$5000,Asset Holder,"Legal research + document review. 10-40 hours at $250/hr. Complexity depends on stone history length."
1.4 Legal — Intake Agreement,"Draft and execute master engagement agreement between PleoChrome and asset holder",$3000,$8000,$5000,PleoChrome,"Securities attorney time: 10-20 hours at $400-$600/hr. Template reduces cost for subsequent stones."
,PHASE 1 SUBTOTAL,$5150,$19000,$10400,,
,,,,,,,
PHASE 2: PREPARATION — Building the Evidence Layer,,,,,,,
,,,,,,,
Line Item,Description,Low Estimate,High Estimate,Best Estimate,Paid By,Source / Justification
