PARTNER DUE DILIGENCE TRACKER,,,,,,
Partner Name:,,,,Review Date:,,
Category:,,,,Reviewed By:,,
Primary Contact:,,,,Next Review Date:,,
,,,,,,
SECTION,Item,Status,Date Completed,Completed By,Document Location,Notes
,,,,,,
ENTITY VERIFICATION,,,,,,
,Certificate of Incorporation / Formation obtained,Not Started,,,,
,Good Standing certificate (current),Not Started,,,,
,Business registration verified,Not Started,,,,
,Physical office address confirmed,Not Started,,,,
,Website and public presence reviewed,Not Started,,,,
,Years in operation documented,Not Started,,,,
,Jurisdictions of operation documented,Not Started,,,,
,,,,,,
OWNERSHIP & MANAGEMENT,,,,,,
,Ultimate Beneficial Owners identified (>25%),Not Started,,,,
,Key management team identified,Not Started,,,,
,Management backgrounds reviewed,Not Started,,,,
,No adverse findings on principals,Not Started,,,,
,Organizational chart obtained,Not Started,,,,
,,,,,,
LICENSES & REGISTRATIONS,,,,,,
,All required licenses identified,Not Started,,,,
,License copies obtained and verified,Not Started,,,,
,Expiration dates tracked,Not Started,,,,
,No disciplinary actions on license,Not Started,,,,
,Regulatory body documented,Not Started,,,,
,License/Registration numbers recorded,Not Started,,,,
,,,,,,
FINANCIAL STABILITY,,,,,,
,Financial statements reviewed,Not Started,,,,"Audited preferred"
,No bankruptcy or insolvency history,Not Started,,,,
,Revenue sufficient for continuity,Not Started,,,,
,Credit report obtained,Not Started,,,,
,,,,,,
INSURANCE,,,,,,
,E&O / Professional Liability verified,Not Started,,,,Coverage amount: $
,General Liability verified,Not Started,,,,Coverage amount: $
,Cyber Liability verified,Not Started,,,,Coverage amount: $
,Fidelity Bond verified,Not Started,,,,Coverage amount: $
,Policy expiration dates noted,Not Started,,,,
,PleoChrome listed as additional insured,Not Started,,,,
,,,,,,
COMPLIANCE & SECURITY,,,,,,
,AML/KYC policy in place,Not Started,,,,
,Data security policy reviewed,Not Started,,,,
,SOC 2 Type II report obtained,Not Started,,,,"Or equivalent certification"
,Privacy policy reviewed,Not Started,,,,
,GDPR/CCPA compliance confirmed,Not Started,,,,
,Incident response plan exists,Not Started,,,,
,Business continuity plan exists,Not Started,,,,
,,,,,,
SANCTIONS & BACKGROUND,,,,,,
,Entity screened — OFAC SDN list,Not Started,,,,Result:
,Entity screened — EU/UN sanctions,Not Started,,,,Result:
,Principals screened — OFAC SDN list,Not Started,,,,Result:
,PEP screening on principals,Not Started,,,,Result:
,Adverse media search completed,Not Started,,,,Result:
,Litigation history search completed,Not Started,,,,Result:
,Criminal background check (principals),Not Started,,,,Result:
,,,,,,
REFERENCES,,,,,,
,Reference 1 obtained and contacted,Not Started,,,,Company:
,Reference 1 feedback documented,Not Started,,,,Feedback:
,Reference 2 obtained and contacted,Not Started,,,,Company:
,Reference 2 feedback documented,Not Started,,,,Feedback:
,,,,,,
CONTRACT & TERMS,,,,,,
,Master Services Agreement drafted,Not Started,,,,
,SLA terms reviewed and acceptable,Not Started,,,,
,Liability and indemnification terms reviewed,Not Started,,,,
,Termination provisions reviewed,Not Started,,,,
,Data handling and privacy terms reviewed,Not Started,,,,
,Fee structure documented and approved,Not Started,,,,
,Contract fully executed,Not Started,,,,
,,,,,,
ONGOING MONITORING,,,,,,
,Annual re-verification scheduled,Not Started,,,,Date:
,License renewal tracking active,Not Started,,,,
,Insurance renewal tracking active,Not Started,,,,
,Performance review schedule set,Not Started,,,,
,,,,,,
DECISION,,,,,,
,Overall Status,PENDING,,,,
,Strengths,,,,,"[Document here]"
,Concerns,,,,,"[Document here]"
,Conditions (if conditional approval),,,,,"[Document here]"
,Final Decision,,,,,"APPROVED / CONDITIONALLY APPROVED / REJECTED"
,Approved By,,,,,
,Approval Date,,,,,

STATUS OPTIONS: Not Started | In Progress | Complete | N/A | Flagged
